<UNK> 1.0	SPN
KHÓ 1.0	KH O
CẬN 1.0	K AA NZ
GHE 1.0	G E
NHẮM 1.0	NH AW MZ
THẲNG 1.0	TH AW NGZ
ĐỪNG 1.0	DD UW NGZ
BUỒN 1.0	B UO NZ
GIẰN 1.0	D AW NZ
VẶT 1.0	V AW TC
HÍT 1.0	H I TC
MŨI 1.0	M U IZ
CHẤT 1.0	CH AA TC
LOÃNG 1.0	L W A NGZ
ĐOÀN 1.0	DD W A NZ
PHÂN 1.0	PH AA NZ
PHỐI 1.0	PH OO IZ
ĐA 1.0	DD A
ĐẬU 1.0	DD AA UZ
SỨC 1.0	S UW KC
LONG 1.0	L O NGZ
NHẮC 1.0	NH AW KC
CUỘC 1.0	K UO KC
TẤN 1.0	T AA NZ
THÁI 1.0	TH A IZ
KHỀ 1.0	KH EE
KHÀ 1.0	KH A
CHUỘT 1.0	CH UO TC
LỚP 1.0	L OW PC
ĐÌNH 1.0	DD I NGZ
KHẢO 1.0	KH A UZ
CHÁT 1.0	CH A TC
ĐẮNG 1.0	DD AW NGZ
NGẮT 1.0	NG AW TC
CÀ 1.0	K A
ĐÒ 1.0	DD O
RỌ 1.0	R O
RẠY 1.0	R A IZ
THỨC 1.0	TH UW KC
TRẮNG 1.0	TR AW NGZ
GIẢI 1.0	D A IZ
QUYẾT 1.0	K W IE TC
KHỐI 1.0	KH OO IZ
UNG 1.0	U NGZ
NHỌT 1.0	NH O TC
PHẪU 1.0	PH AA UZ
NGHIÊM 1.0	NG IE MZ
TÚC 1.0	T U KC
THẬM 1.0	TH AA MZ
CHÍ 1.0	CH I
CÀNG 1.0	K A NGZ
GIỐNG 1.0	D OO NGZ
QUÍ 1.0	K W I
MỐT 1.0	M OO TC
KHANG 1.0	KH A NGZ
HI 1.0	H I
ĐIỂN 1.0	DD IE NZ
MÔI 1.0	M OO IZ
PHAI 1.0	PH A IZ
SON 1.0	S O NZ
MẤP 1.0	M AA PC
LỜI 1.0	L OW IZ
HOẢI 1.0	H W A IZ
KHÁC 1.0	KH A KC
ÁC 1.0	A KC
TÂM 1.0	T AA MZ
VẬY 1.0	V AA IZ
KHUNG 1.0	KH U NGZ
ĐẤY 1.0	DD AA IZ
TRẠNG 1.0	TR A NGZ
CHÁN 1.0	CH A NZ
NGÁN 1.0	NG A NZ
VÔ 1.0	V OO
MƯƠI 1.0	M WA IZ
SÁU 1.0	S A UZ
CHÍN 1.0	CH I NZ
TRĂM 1.0	TR AW MZ
BƯỚC 1.0	B WA KC
BỤNG 1.0	B U NGZ
KẾT 1.0	K EE TC
QUẢ 1.0	K W A
TỆ 1.0	T EE
ĐOẠN 1.0	DD W A NZ
TRÁCH 1.0	TR A KC
NHIỆM 1.0	NH IE MZ
HỮU 1.0	H UW UZ
UỐNG 1.0	UO NGZ
PHÍ 1.0	PH I
CHUYỂN 1.0	CH W IE NZ
GIAO 1.0	D A UZ
CHỤC 1.0	CH U KC
LƯƠNG 1.0	L WA NGZ
AI 1.0	A IZ
ẤY 1.0	AA IZ
CHÉN 1.0	CH E NZ
HẰNG 1.0	H AW NGZ
THẢI 1.0	TH A IZ
HÀNG 1.0	H A NGZ
TỈ 1.0	T I
NHƯỢC 1.0	NH WA KC
ĐIỂM 1.0	DD IE MZ
THÔNG 1.0	TH OO NGZ
THỐC 1.0	TH OO KC
THỔI 1.0	TH OO IZ
QUAN 1.0	K W A NZ
MÔN 1.0	M OO NZ
TỔ 1.0	T OO
CHỨC 1.0	CH UW KC
ĐỘC 1.0	DD OO KC
LẬP 1.0	L AA PC
VẠI 1.0	V A IZ
MUỐI 1.0	M UO IZ
LỢN 1.0	L OW NZ
CHỤM 1.0	CH U MZ
NGÓN 1.0	NG O NZ
CHỖ 1.0	CH OO
LIỀN 1.0	L IE NZ
THÓP 1.0	TH O PC
BỖNG 1.0	B OO NGZ
OÁC 1.0	W A KC
VẠT 1.0	V A TC
RỪNG 1.0	R UW NGZ
MÙA 1.0	M W A
SÁT 1.0	S A TC
SẠT 1.0	S A TC
TRẬN 1.0	TR AA NZ
CHIẾN 1.0	CH IE NZ
XÍCH 1.0	S I KC
BÍCH 1.0	B I KC
CŨ 1.0	K U
HÓT 1.0	H O TC
HỆT 1.0	H EE TC
NHỒNG 1.0	NH OO NGZ
LƯỠI 1.0	L WA IZ
ÁNG 1.0	A NGZ
CHỪNG 1.0	CH UW NGZ
CỰC 1.0	K UW KC
GIẢNG 1.0	D A NGZ
DẠY 1.0	D A IZ
LƯỢNG 1.0	L WA NGZ
MÓN 1.0	M O NZ
QUÀ 1.0	K W A
KIÊN 1.0	K IE NZ
TRỚT 1.0	TR OW TC
QUỚT 1.0	K W OW TC
RÔ 1.0	R OO
BÓT 1.0	B O TC
MINH 1.0	M I NGZ
TIÊN 1.0	T IE NZ
VÃ 1.0	V A
LÚC 1.0	L U KC
NHÂN 1.0	NH AA NZ
NẾM 1.0	N EE MZ
GIÒ 1.0	D O
HOÀN 1.0	H W A NZ
HEO 1.0	H E UZ
HOÀI 1.0	H W A IZ
NGHI 1.0	NG I
GIỮ 1.0	D UW
TREO 1.0	TR E UZ
LỦNG 1.0	L U NGZ
LẲNG 1.0	L AW NGZ
CHÍU 1.0	CH I UZ
CHÍT 1.0	CH I TC
GỢI 1.0	G OW IZ
SUM 1.0	S U MZ
GẤU 1.0	G AA UZ
TRỤ 1.0	TR U
ĐÁ 1.0	DD A
NGHIÊNG 1.0	NG IE NGZ
NGẢ 1.0	NG A
NÁT 1.0	N A TC
HUỐNG 1.0	H UO NGZ
HẠI 1.0	H A IZ
DÙNG 1.0	D U NGZ
LỢI 1.0	L OW IZ
NHUẬN 1.0	NH W AA NZ
LĂM 1.0	L AW MZ
PHỐ 1.0	PH OO
Ô 1.0	OO
NHIỄM 1.0	NH IE MZ
TRƯA 1.0	TR WA
NÓNG 1.0	N O NGZ
GIẬN 1.0	D AA NZ
LĂNG 1.0	L AW NGZ
MẠ 1.0	M A
TỤC 1.0	T U KC
CHI 1.0	CH I
CÂY 1.0	K AA IZ
CHỢT 1.0	CH OW TC
TẬT 1.0	T AA TC
QUẬT 1.0	K W AA TC
NGÃ 1.0	NG A
TRÓT 1.0	TR O TC
LỘN 1.0	L OO NZ
XỘN 1.0	S OO NZ
MÀN 1.0	M A NZ
NỀN 1.0	N EE NZ
ĐẠO 1.0	DD A UZ
NGẪM 1.0	NG AA MZ
NGHỀ 1.0	NG EE
LẬT 1.0	L AA TC
ĐẬT 1.0	DD AA TC
ĐẠP 1.0	DD A PC
TÀNG 1.0	T A NGZ
NÓC 1.0	N O KC
KHĂN 1.0	KH AW NZ
ĐUỔI 1.0	DD UO IZ
TÍN 1.0	T I NZ
TRUYỀN 1.0	TR W IE NZ
TRỰC 1.0	TR UW KC
CÁP 1.0	K A PC
QUANG 1.0	K W A NGZ
ĐẢM 1.0	DD A MZ
SẠCH 1.0	S A KC
LẼ 1.0	L E
HỒ 1.0	H OO
GỤ 1.0	G U
LOÁNG 1.0	L W A NGZ
ÉP 1.0	E PC
DẺO 1.0	D E UZ
VẢI 1.0	V A IZ
CÓI 1.0	K O IZ
CHÀI 1.0	CH A IZ
BIÊN 1.0	B IE NZ
ỨNG 1.0	UW NGZ
TỐT 1.0	T OO TC
KHÁN 1.0	KH A NZ
GIẢ 1.0	D A
NHÍ 1.0	NH I
DỊCH 1.0	D I KC
KHỎE 1.0	KH W E
Ý 1.0	I
SÀN 1.0	S A NZ
Ồ 1.0	OO
ẠT 1.0	A TC
VỎN 1.0	V O NZ
VẸN 1.0	V E NZ
DỆT 1.0	D EE TC
GIÀU 1.0	D A UZ
ÁNH 1.0	A NGZ
TRĂNG 1.0	TR AW NGZ
ĐỔI 1.0	DD OO IZ
MẠNG 1.0	M A NGZ
TOA 1.0	T W A
TỐC 1.0	T OO KC
RỜM 1.0	R OW MZ
RỢP 1.0	R OW PC
MÂY 1.0	M AA IZ
LAU 1.0	L A UZ
LÁCH 1.0	L A KC
PHẤT 1.0	PH AA TC
PHƠ 1.0	PH OW
TRỨNG 1.0	TR UW NGZ
MỰC 1.0	M UW KC
QUYẾN 1.0	K W IE NZ
RŨ 1.0	R U
NGƯ 1.0	NG UW
DÂN 1.0	D AA NZ
KHIỂN 1.0	KH IE NZ
LÁI 1.0	L A IZ
THOÁNG 1.0	TH W A NGZ
TRĂN 1.0	TR AW NZ
TRÀ 1.0	TR A
KHIÊU 1.0	KH IE UZ
QUẠT 1.0	K W A TC
CỐI 1.0	K OO IZ
XAY 1.0	S A IZ
ĐỎ 1.0	DD O
THỊT 1.0	TH I TC
NGỌT 1.0	NG O TC
LỪ 1.0	L UW
TRÙNG 1.0	TR U NGZ
SÁN 1.0	S A NZ
TỎI 1.0	T O IZ
CĂN 1.0	K AW NZ
BẬC 1.0	B AA KC
KỶ 1.0	K I
RẠ 1.0	R A
NGẲNG 1.0	NG AW NGZ
VẬN 1.0	V AA NZ
TUNG 1.0	T U NGZ
CHẢY 1.0	CH A IZ
HỜN 1.0	H OW NZ
LÝ 1.0	L I
CHÌM 1.0	CH I MZ
LỈM 1.0	L I MZ
NGẬM 1.0	NG AA MZ
BẦU 1.0	B AA UZ
VÚ 1.0	V U
QUẮT 1.0	K W AW TC
QUEO 1.0	K W E UZ
KHIẾM 1.0	KH IE MZ
NHÃ 1.0	NH A
DỠ 1.0	D OW
CƯỠNG 1.0	K WA NGZ
DÕI 1.0	D O IZ
GIÁN 1.0	D A NZ
ĐIỆP 1.0	DD IE PC
CHĂN 1.0	CH AW NZ
ĐỘI 1.0	DD OO IZ
SẤM 1.0	S AA MZ
SÉT 1.0	S E TC
ĐÙNG 1.0	DD U NGZ
ĐOÀNG 1.0	DD W A NGZ
NÚI 1.0	N U IZ
LẤY 1.0	L AA IZ
SỤN 1.0	S U NZ
CHỊU 1.0	CH I UZ
HOẠT 1.0	H W A TC
THÍ 1.0	TH I
VÊNH 1.0	V EE NGZ
GẮNG 1.0	G AW NGZ
VẰNG 1.0	V AW NGZ
VẶC 1.0	V AW KC
ĐẶNG 1.0	DD AW NGZ
MƯỜI 1.0	M WA IZ
ĐẰNG 1.0	DD AW NGZ
THÚ 1.0	TH U
TUI 1.0	T U IZ
CHÂM 1.0	CH AA MZ
TRU 1.0	TR U
DIỆT 1.0	D IE TC
HẢO 1.0	H A UZ
THỘP 1.0	TH OO PC
KHẨN 1.0	KH AA NZ
CẤP 1.0	K AA PC
ĐỌC 1.0	DD O KC
NGA 1.0	NG A
THÌN 1.0	TH I NZ
NẾT 1.0	N EE TC
NA 1.0	N A
VÁ 1.0	V A
LỖI 1.0	L OO IZ
CỤ 1.0	K U
QUÉT 1.0	K W E TC
LAY 1.0	L A IZ
PHAY 1.0	PH A IZ
RẮC 1.0	R AW KC
TINH 1.0	T I NGZ
ĐỦ 1.0	DD U
HÀI 1.0	H A IZ
GIÚP 1.0	D U PC
ƯU 1.0	UW UZ
PHIỀN 1.0	PH IE NZ
DUNG 1.0	D U NGZ
DĂNG 1.0	D AW NGZ
CẦM 1.0	K AA MZ
GHẺ 1.0	G E
RĂNG 1.0	R AW NGZ
HÀM 1.0	H A MZ
KHUM 1.0	KH U MZ
ÂN 1.0	AA NZ
ĐẢ 1.0	DD A
NỮ 1.0	N UW
CHẤM 1.0	CH AA MZ
DỨT 1.0	D UW TC
NẠN 1.0	N A NZ
SÁ 1.0	S A
NGẬP 1.0	NG AA PC
XẮP 1.0	S AW PC
QUANH 1.0	K W A NGZ
VỪA 1.0	V WA
TRAO 1.0	TR A UZ
TẶNG 1.0	T AW NGZ
THƯỞNG 1.0	TH WA NGZ
LĨNH 1.0	L I NGZ
VỰC 1.0	V UW KC
NGỒNG 1.0	NG OO NGZ
CHÀNG 1.0	CH A NGZ
TRAI 1.0	TR A IZ
LỒM 1.0	L OO MZ
CỒM 1.0	K OO MZ
DẬY 1.0	D AA IZ
XANH 1.0	S A NGZ
LÉT 1.0	L E TC
LÁ 1.0	L A
CHUỐI 1.0	CH UO IZ
THÊM 1.0	TH EE MZ
CỤC 1.0	K U KC
XÚC 1.0	S U KC
DẦU 1.0	D AA UZ
CỌ 1.0	K O
HƯỢM 1.0	H WA MZ
CHỈNH 1.0	CH I NGZ
ĐÁM 1.0	DD A MZ
VEN 1.0	V E NZ
NHA 1.0	NH A
CHANH 1.0	CH A NGZ
HƠI 1.0	H OW IZ
NHIÊU 1.0	NH IE UZ
THUA 1.0	TH UO
TIỆM 1.0	T IE MZ
TẠP 1.0	T A PC
HOÁ 1.0	H W A
XUỐNG 1.0	S UO NGZ
ĐỨA 1.0	DD WA
CHĂM 1.0	CH AW MZ
SÓC 1.0	S O KC
XINH 1.0	S I NGZ
PHẠM 1.0	PH A MZ
GIẢM 1.0	D A MZ
ÓI 1.0	O IZ
ỌC 1.0	O KC
CHE 1.0	CH E
CHÁI 1.0	CH A IZ
TẠM 1.0	T A MZ
HÔNG 1.0	H OO NGZ
RUỘT 1.0	R UO TC
CĂM 1.0	K AW MZ
ÓNG 1.0	O NGZ
GHỆT 1.0	G EE TC
NGỰ 1.0	NG UW
LÂM 1.0	L AA MZ
QUÂN 1.0	K W AA NZ
DÃI 1.0	D A IZ
NẮNG 1.0	N AW NGZ
DƯỚI 1.0	D WA IZ
QUÁI 1.0	K W A IZ
RỒNG 1.0	R OO NGZ
NÉT 1.0	N E TC
NGỜI 1.0	NG OW IZ
HẠNH 1.0	H A NGZ
PHÚC 1.0	PH U KC
VAY 1.0	V A IZ
VỐN 1.0	V OO NZ
XẺ 1.0	S E
NẮP 1.0	N AW PC
LEO 1.0	L E UZ
NHỪ 1.0	NH UW
PHÉP 1.0	PH E PC
SÀ 1.0	S A
LAN 1.0	L A NZ
HỌA 1.0	H W A
GẮN 1.0	G AW NZ
LÔNG 1.0	L OO NGZ
HỘT 1.0	H OO TC
LÓNG 1.0	L O NGZ
LÁNH 1.0	L A NGZ
BÈO 1.0	B E UZ
DÚN 1.0	D U NZ
TÙA 1.0	T W A
LUA 1.0	L UO
NGỤ 1.0	NG U
ẤP 1.0	AA PC
ÍT 1.0	I TC
PHẨY 1.0	PH AA IZ
TẢ 1.0	T A
NGON 1.0	NG O NZ
LƠ 1.0	L OW
LỬNG 1.0	L UW NGZ
BẪY 1.0	B AA IZ
BÂY 1.0	B AA IZ
HUNG 1.0	H U NGZ
HIẾP 1.0	H IE PC
DÂM 1.0	D AA MZ
BỌT 1.0	B O TC
XẢY 1.0	S A IZ
PHẠT 1.0	PH A TC
THẺ 1.0	TH E
KIỂU 1.0	K IE UZ
PHÓ 1.0	PH O
CHUẨN 1.0	CH W AA NZ
TRƯƠNG 1.0	TR WA NGZ
DƯ 1.0	D UW
THỪA 1.0	TH WA
LUỒNG 1.0	L UO NGZ
CHỨNG 1.0	CH UW NGZ
TỎ 1.0	T O
TRỒNG 1.0	TR OO NGZ
THIẾU 1.0	TH IE UZ
CHỢ 1.0	CH OW
COI 1.0	K O IZ
HỒI 1.0	H OO IZ
KÝ 1.0	K I
CHUỘC 1.0	CH UO KC
TUỔI 1.0	T UO IZ
QUÝ 1.0	K W I
NGỌ 1.0	NG O
CHÚT 1.0	CH U TC
TRẦY 1.0	TR AA IZ
TRỤA 1.0	TR W A
ĐỀN 1.0	DD EE NZ
ĐẶT 1.0	DD AW TC
HỘP 1.0	H OO PC
ĐỰNG 1.0	DD UW NGZ
BỌC 1.0	B O KC
DA 1.0	D A
HẮC 1.0	H AW KC
BẠCH 1.0	B A KC
TRANH 1.0	TR A NGZ
TRỌ 1.0	TR O
CỎ 1.0	K O
MƯỢT 1.0	M WA TC
LÂY 1.0	L AA IZ
È 1.0	E
XÁ 1.0	S A
MỜ 1.0	M OW
ẢO 1.0	A UZ
PHIẾU 1.0	PH IE UZ
VẤN 1.0	V AA NZ
ỊCH 1.0	I KC
GÃ 1.0	G A
BÉO 1.0	B E UZ
ỤC 1.0	U KC
RÁCH 1.0	R A KC
LƯƠM 1.0	L WA MZ
BƯƠM 1.0	B WA MZ
PHẢN 1.0	PH A NZ
BIỆT 1.0	B IE TC
HIẾN 1.0	H IE NZ
MÁU 1.0	M A UZ
HÉT 1.0	H E TC
TỜ 1.0	T OW
XỞI 1.0	S OW IZ
LỞI 1.0	L OW IZ
KỂ 1.0	K EE
RANG 1.0	R A NGZ
TRÍ 1.0	TR I
ĐÓN 1.0	DD O NZ
TĂNG 1.0	T AW NGZ
DỊP 1.0	D I PC
NGÀNH 1.0	NG A NGZ
NHỌN 1.0	NH O NZ
NGƯỢC 1.0	NG WA KC
ĐÃI 1.0	DD A IZ
LÀNG 1.0	L A NGZ
NGUYỄN 1.0	NG W IE NZ
TƯỜNG 1.0	T WA NGZ
PHỎNG 1.0	PH O NGZ
ẢNH 1.0	A NGZ
GIAI 1.0	D A IZ
TIẾT 1.0	T IE TC
NHIỆT 1.0	NH IE TC
ĐIẾU 1.0	DD IE UZ
THUỐC 1.0	TH UO KC
ĐỐT 1.0	DD OO TC
CHÁY 1.0	CH A IZ
VÀI 1.0	V A IZ
SÔ 1.0	S OO
PHA 1.0	PH A
TẮT 1.0	T AW TC
THAO 1.0	TH A UZ
CUỐI 1.0	K UO IZ
VÃI 1.0	V A IZ
LỒNG 1.0	L OO NGZ
HỒN 1.0	H OO NZ
NGỌC 1.0	NG O KC
QUYỀN 1.0	K W IE NZ
CÃI 1.0	K A IZ
NHÌ 1.0	NH I
KHUYẾN 1.0	KH W IE NZ
KHÍCH 1.0	KH I KC
NỀ 1.0	N EE
HIẾM 1.0	H IE MZ
LÊ 1.0	L EE
CHOÁNG 1.0	CH W A NGZ
VÁNG 1.0	V A NGZ
NHÓC 1.0	NH O KC
TÍA 1.0	T IE
CHIA 1.0	CH IE
SẺ 1.0	S E
LẮM 1.0	L AW MZ
QUẦY 1.0	K W AA IZ
KHÁT 1.0	KH A TC
CỐC 1.0	K OO KC
VÍ 1.0	V I
PHONG 1.0	PH O NGZ
BÌ 1.0	B I
NGHÈO 1.0	NG E UZ
TUYỆT 1.0	T W IE TC
HÓA 1.0	H W A
NGẦN 1.0	NG AA NZ
CHIỀU 1.0	CH IE UZ
THẢ 1.0	TH A
RÀ 1.0	R A
SOÁT 1.0	S W A TC
NẢN 1.0	N A NZ
PHÁP 1.0	PH A PC
KHỔ 1.0	KH OO
MỤC 1.0	M U KC
PHẤN 1.0	PH AA NZ
QUÊ 1.0	K W EE
RỰC 1.0	R UW KC
LÀO 1.0	L A UZ
LỤP 1.0	L U PC
XỤP 1.0	S U PC
PHUN 1.0	PH U NZ
BAY 1.0	B A IZ
KHU 1.0	KH U
TRÚ 1.0	TR U
KHỐNG 1.0	KH OO NGZ
HỒNG 1.0	H OO NGZ
TĨNH 1.0	T I NGZ
DẮT 1.0	D AW TC
HỐI 1.0	H OO IZ
TUY 1.0	T W I
CÂM 1.0	K AA MZ
PHEN 1.0	PH E NZ
ÒA 1.0	W A
KHÓC 1.0	KH O KC
ĐÙA 1.0	DD W A
XÉT 1.0	S E TC
TỔNG 1.0	T OO NGZ
DÀNH 1.0	D A NGZ
RIÊNG 1.0	R IE NGZ
LÌ 1.0	L I
XỨ 1.0	S UW
TỐ 1.0	T OO
ĐỢI 1.0	DD OW IZ
HUY 1.0	H W I
GÓC 1.0	G O KC
VINH 1.0	V I NGZ
GIẤY 1.0	D AA IZ
ĐẮT 1.0	DD AW TC
CƯỜNG 1.0	K WA NGZ
VỜI 1.0	V OW IZ
THỈNH 1.0	TH I NGZ
THOẢNG 1.0	TH W A NGZ
DỪNG 1.0	D UW NGZ
GŨI 1.0	G U IZ
NGỪ 1.0	NG UW
MÒI 1.0	M O IZ
RAU 1.0	R A UZ
TRỘN 1.0	TR OO NZ
THẠC 1.0	TH A KC
NHẬT 1.0	NH AA TC
SƯU 1.0	S UW UZ
TẦM 1.0	T AA MZ
ĐỢT 1.0	DD OW TC
KHẮT 1.0	KH AW TC
KHE 1.0	KH E
KHOẢNG 1.0	KH W A NGZ
DUYÊN 1.0	D W IE NZ
RƯỢU 1.0	R WA UZ
CƯỚI 1.0	K WA IZ
ĐỨC 1.0	DD UW KC
XỬ 1.0	S UW
BỒI 1.0	B OO IZ
MÍA 1.0	M IE
NÂNG 1.0	N AA NGZ
XƯA 1.0	S WA
BÌA 1.0	B IE
HOẠ 1.0	H W A
CUỐN 1.0	K UO NZ
LIỆT 1.0	L IE TC
TUỒN 1.0	T UO NZ
THIỆU 1.0	TH IE UZ
MIỀN 1.0	M IE NZ
NGHIÊN 1.0	NG IE NZ
NHIÊN 1.0	NH IE NZ
VĨ 1.0	V I
MONG 1.0	M O NGZ
TIỆC 1.0	T IE KC
PHỞ 1.0	PH OW
KHỔNG 1.0	KH OO NGZ
LỒ 1.0	L OO
ĐÔ 1.0	DD OO
BẮC 1.0	B AW KC
KHỨ 1.0	KH UW
KÌ 1.0	K I
CHAY 1.0	CH A IZ
MẶN 1.0	M AW NZ
VI 1.0	V I
KHIẾU 1.0	KH IE UZ
NẠI 1.0	N A IZ
SƯ 1.0	S UW
RỤI 1.0	R U IZ
CƠM 1.0	K OW MZ
LẮNG 1.0	L AW NGZ
KẼM 1.0	K E MZ
GAN 1.0	G A NZ
SÒ 1.0	S O
THƯ 1.0	TH UW
HUYẾT 1.0	H W IE TC
HÀO 1.0	H A UZ
I 1.0	I
TRẢI 1.0	TR A IZ
DÀI 1.0	D A IZ
GỌN 1.0	G O NZ
THẢN 1.0	TH A NZ
ĐUA 1.0	DD UO
BÁNH 1.0	B A NGZ
HÁT 1.0	H A TC
ĐẬP 1.0	DD AA PC
TAN 1.0	T A NZ
TÀNH 1.0	T A NGZ
KHOÁI 1.0	KH W A IZ
MÂM 1.0	M AA MZ
ĐẠM 1.0	DD A MZ
TỦ 1.0	T U
LUẬT 1.0	L W AA TC
RĂN 1.0	R AW NZ
ĐE 1.0	DD E
GIƯỜNG 1.0	D WA NGZ
NHẢM 1.0	NH A MZ
PHÈO 1.0	PH E UZ
Ờ 1.0	OW
LINH 1.0	L I NGZ
THUNG 1.0	TH U NGZ
NAI 1.0	N A IZ
MẾN 1.0	M EE NZ
MỘC 1.0	M OO KC
THÚY 1.0	TH W I
NHỜ 1.0	NH OW
KIM 1.0	K I MZ
CẤU 1.0	K AA UZ
TRÚC 1.0	TR U KC
KHOA 1.0	KH W A
NHẬP 1.0	NH AA PC
ĐĂNG 1.0	DD AW NGZ
NHÁNH 1.0	NH A NGZ
THẮNG 1.0	TH AW NGZ
THÚNG 1.0	TH U NGZ
LÀN 1.0	L A NZ
MƯU 1.0	M UW UZ
DÒNG 1.0	D O NGZ
THUẬT 1.0	TH W AA TC
BÁN 1.0	B A NZ
NHỚ 1.0	NH OW
VỘI 1.0	V OO IZ
ÔN 1.0	OO NZ
HIẾU 1.0	H IE UZ
HẢI 1.0	H A IZ
THƯA 1.0	TH WA
VĨNH 1.0	V I NGZ
TÁNG 1.0	T A NGZ
MỘ 1.0	M OO
CẠNH 1.0	K A NGZ
GHÉT 1.0	G E TC
VIỆN 1.0	V IE NZ
KHẼ 1.0	KH E
CHỚP 1.0	CH OW PC
NGUYỆN 1.0	NG W IE NZ
CHÚA 1.0	CH W A
PHỨC 1.0	PH UW KC
SƯỚNG 1.0	S WA NGZ
SÓT 1.0	S O TC
NGẠC 1.0	NG A KC
ÔM 1.0	OO MZ
CẶP 1.0	K AW PC
HẸN 1.0	H E NZ
ƯỚC 1.0	WA KC
THỤY 1.0	TH W I
ĐẢO 1.0	DD A UZ
TRẦM 1.0	TR AA MZ
CHIẾU 1.0	CH IE UZ
BÁU 1.0	B A UZ
NGỘT 1.0	NG OO TC
HỦY 1.0	H W I
PHẬT 1.0	PH AA TC
HƯỞNG 1.0	H WA NGZ
XEN 1.0	S E NZ
KẼ 1.0	K E
PHÚT 1.0	PH U TC
XÚM 1.0	S U MZ
TÊ 1.0	T EE
Ế 1.0	EE
GÁNH 1.0	G A NGZ
CHÈ 1.0	CH E
TRĨU 1.0	TR I UZ
XUNG 1.0	S U NGZ
KỆ 1.0	K EE
BẨN 1.0	B AA NZ
LÊNH 1.0	L EE NGZ
LÁNG 1.0	L A NGZ
RẼ 1.0	R E
DỐI 1.0	D OO IZ
SỚM 1.0	S OW MZ
BỮA 1.0	B WA
SỬA 1.0	S WA
NGỚ 1.0	NG OW
NGẨN 1.0	NG AA NZ
ĐÈ 1.0	DD E
DẬP 1.0	D AA PC
SỌ 1.0	S O
NỞ 1.0	N OW
NỤ 1.0	N U
CƯỜI 1.0	K WA IZ
SÓNG 1.0	S O NGZ
VÙNG 1.0	V U NGZ
BÃO 1.0	B A UZ
CĂNG 1.0	K AW NGZ
MỆT 1.0	M EE TC
ĐÁNG 1.0	DD A NGZ
HẢ 1.0	H A
CỔNG 1.0	K OO NGZ
ĐÀ 1.0	DD A
LẠT 1.0	L A TC
NẬU 1.0	N AA UZ
TRÙM 1.0	TR U MZ
RẺ 1.0	R E
MẠT 1.0	M A TC
KHÁM 1.0	KH A MZ
KHAN 1.0	KH A NZ
BỔNG 1.0	B OO NGZ
DÁT 1.0	D A TC
HÀN 1.0	H A NZ
CHIẾM 1.0	CH IE MZ
SO 1.0	S O
TÁO 1.0	T A UZ
LAI 1.0	L A IZ
BẠT 1.0	B A TC
CHẮN 1.0	CH AW NZ
ĐỤNG 1.0	DD U NGZ
SUÝT 1.0	S W I TC
CHÚI 1.0	CH U IZ
THUYỀN 1.0	TH W IE NZ
TỘC 1.0	T OO KC
THIỂU 1.0	TH IE UZ
CHẤP 1.0	CH AA PC
HÃNH 1.0	H A NGZ
DIỆN 1.0	D IE NZ
TUẤN 1.0	T W AA NZ
TÙ 1.0	T U
BỆ 1.0	B EE
THỜ 1.0	TH OW
SEN 1.0	S E NZ
HUỆ 1.0	H W EE
THƠM 1.0	TH OW MZ
NỨC 1.0	N UW KC
CỬ 1.0	K UW
DỄ 1.0	D EE
Ố 1.0	OO
NHIẾP 1.0	NH IE PC
SÉC 1.0	S E KC
XÓT 1.0	S O TC
THÁC 1.0	TH A KC
KÍNH 1.0	K I NGZ
LÃM 1.0	L A MZ
MÀI 1.0	M A IZ
DỰA 1.0	D WA
LUYỆN 1.0	L W IE NZ
KÈM 1.0	K E MZ
KHOẢN 1.0	KH W A NZ
CHÚC 1.0	CH U KC
GIÃN 1.0	D A NZ
ĐEN 1.0	DD E NZ
XẾCH 1.0	S EE KC
LẪN 1.0	L AA NZ
NỖ 1.0	N OO
KEM 1.0	K E MZ
LÓT 1.0	L O TC
THÌNH 1.0	TH I NGZ
LÌNH 1.0	L I NGZ
KHUYA 1.0	KH W IE
KHOẮT 1.0	KH W AW TC
GÀ 1.0	G A
NÂU 1.0	N AA UZ
CAI 1.0	K A IZ
TẤM 1.0	T AA MZ
HIỂN 1.0	H IE NZ
LỀNH 1.0	L EE NGZ
KHÊNH 1.0	KH EE NGZ
TỤ 1.0	T U
MỜI 1.0	M OW IZ
THÁCH 1.0	TH A KC
MÁ 1.0	M A
ĐẾM 1.0	DD EE MZ
GIỌT 1.0	D O TC
RƠI 1.0	R OW IZ
TẢI 1.0	T A IZ
CẮP 1.0	K AW PC
NHƠN 1.0	NH OW NZ
NGỰC 1.0	NG UW KC
MỠ 1.0	M OW
YẾN 1.0	IE NZ
TRINH 1.0	TR I NGZ
NGOẠN 1.0	NG W A NZ
HAM 1.0	H A MZ
PHƯỢNG 1.0	PH WA NGZ
VE 1.0	V E
XAO 1.0	S A UZ
NGUÔI 1.0	NG UO IZ
SA 1.0	S A
NGHỊCH 1.0	NG I KC
TIẾC 1.0	T IE KC
KHÍA 1.0	KH IE
CHUỒNG 1.0	CH UO NGZ
ĐỊCH 1.0	DD I KC
DẠNG 1.0	D A NGZ
RÕ 1.0	R O
CƯƠNG 1.0	K WA NGZ
ĐẺ 1.0	DD E
